Time(ms),EMG Signal
586,94
623,339
671,539
719,558
768,460
816,334
864,229
912,154
961,101
1009,61
1057,28
1105,2
1154,33
1202,63
1250,94
1298,124
1347,152
1395,176
1443,195
1491,207
1540,210
1588,206
1636,192
1684,172
1733,148
1781,121
1829,95
1877,71
1926,54
1974,43
2022,38
2070,39
2119,45
2167,54
2215,64
2263,71
2311,75
2360,72
2408,64
2456,50
2504,31
2553,11
2601,9
2649,27
2697,43
2745,51
2794,53
2842,47
2890,36
2938,22
2987,6
3035,8
3083,21
3131,28
3180,30
3228,27
3276,17
3324,3
3373,12
3421,27
3469,40
3530,48
3578,51
3626,48
3674,42
3723,31
3771,15
3819,0
3868,14
3916,24
3964,31
4012,31
4061,26
4109,17
4157,4
4206,9
4254,22
4302,34
4350,41
4399,42
4447,39
4495,31
4544,20
4592,7
4640,6
4688,18
4737,25
4785,28
4833,27
4881,21
4930,11
4978,0
5026,11
5074,22
5123,32
5171,36
5219,36
5268,32
5316,24
5364,14
5412,3
5461,7
5509,16
5557,21
5605,22
5654,19
5702,14
5750,5
5799,3
5847,13
5895,21
5943,26
5992,30
6040,29
6088,25
6137,18
6185,9
6233,1
6281,5
6330,11
6378,14
6426,15
6474,12
6523,8
6571,1
6619,5
6667,13
6728,18
6776,21
6825,23
6873,22
6921,19
6970,14
7018,7
7066,1
7114,3
7163,7
7211,9
7259,8
7307,7
7356,2
7404,1
7452,7
7501,11
7549,15
7597,16
7645,17
7694,15
7742,13
7790,9
7838,4
7887,0
7935,1
7983,3
8031,3
8080,2
8128,0
8176,1
8224,4
8273,7
8321,9
8369,11
8417,12
8466,11
8514,10
8562,9
8611,7
8659,6
8707,4
8755,2
8804,0
8852,0
8900,0
8948,2
8997,3
9045,4
9093,5
9141,6
9190,6
9238,6
9286,5
9335,5
9383,6
9431,6
9479,7
9528,7
9576,6
9624,6
9673,6
9721,6
9769,6
9817,5
9866,3
9914,3
9962,3
10010,2
10059,2
10107,2
10168,4
10216,4
10264,6
10312,8
10361,10
10409,10
10457,9
10505,10
10554,9
10602,8
10650,5
10699,3
10747,1
10795,0
10843,1
10892,1
10940,0
10988,2
11036,5
11085,8
11133,10
11181,12
11229,12
11278,13
11326,11
11374,9
11423,7
11471,4
11519,1
11567,0
11616,2
11664,3
11712,2
11760,0
11809,2
11857,6
11905,9
11953,12
12002,14
12050,15
12098,14
12147,12
12195,9
12243,6
12291,2
12340,1
12388,3
12436,5
12484,5
12533,3
12581,1
12629,2
12677,7
12726,12
12774,15
12822,17
12871,17
12919,16
12967,13
13015,9
13064,4
13124,0
13173,3
13221,6
13269,6
13317,5
13366,2
13414,0
13462,4
13511,7
13559,12
13607,15
13655,17
13704,17
13758,15
13806,12
13855,8
13903,4
13951,0
13999,3
14048,5
14096,5
14144,5
14193,2
14241,0
14289,4
14337,9
14386,12
14434,16
14482,17
14531,17
14579,15
14627,11
14675,7
14724,2
14772,0
14820,3
14869,5
14917,5
14965,4
15013,1
15062,1
15110,6
15158,10
15206,13
15255,16
15303,17
15351,16
15400,13
15448,10
15496,6
15545,2
15593,0
15641,3
15689,5
15738,5
15786,3
15834,0
15883,3
15931,6
15979,10
16027,13
16076,15
16136,14
16185,13
16233,10
16281,8
16330,5
16378,2
16426,1
16474,2
16523,4
16571,3
16619,0
16668,1
16716,4
16764,8
16812,12
16861,14
16909,15
16957,14
17006,13
17054,9
17102,6
17151,3
17199,0
17247,1
17296,2
17344,1
17392,1
17441,0
17489,2
17537,6
17585,9
17634,10
17682,12
17730,12
17779,12
17827,11
17875,9
17924,6
17972,3
18020,1
18068,0
18117,1
18165,1
18213,0
18262,1
18310,3
18358,6
18407,8
18455,10
18503,11
18551,12
18600,11
18648,9
18696,7
18744,6
18793,4
18841,2
18889,0
18938,0
18986,0
19034,0
19082,1
19119,4
19167,7
19215,8
19264,8
19312,9
19360,8
19409,8
19457,7
19505,6
19553,5
19602,4
19650,3
19698,2
19747,2
19795,2
19843,2
19891,4
19940,5
19988,6
20036,7
20085,8
20133,8
20181,9
20229,8
20278,7
20326,6
20374,4
20422,3
20471,3
20519,3
20567,3
20616,4
20664,4
20712,4
20760,5
20809,6
20857,6
20905,7
20953,7
21002,6
21050,5
21098,5
21147,4
21195,4
21243,4
21291,4
21340,5
21388,5
21436,5
21485,5
21533,5
21581,6
21630,6
21678,6
21726,6
21774,5
21823,5
21871,4
21919,5
21968,5
22016,6
22064,6
22112,7
22161,5
22197,6
22245,7
22294,7
22342,5
22390,4
22438,3
22486,3
22535,3
22583,3
22631,4
22679,4
22727,5
22776,6
22824,6
22872,7
22920,6
22969,5
23017,4
23065,5
23113,6
23161,5
23210,4
23258,3
23306,3
23354,4
23402,4
23451,4
23499,4
23547,6
23595,6
23643,7
23692,7
23740,8
23788,7
23836,6
23884,6
23933,6
23981,5
24029,4
24077,3
24126,2
24174,3
24222,3
24270,5
24318,5
24367,5
24415,5
24463,7
24511,8
24560,8
24608,8
24656,7
24704,6
24752,5
24801,4
24849,4
24897,3
24945,3
24994,3
25042,3
25090,4
25138,5
25187,6
25235,7
25271,7
25320,9
25368,9
25416,7
25464,5
25513,4
25561,4
25609,3
25658,2
25706,2
25754,2
25802,2
25851,3
25899,4
25947,5
25995,6
26044,7
26092,8
26140,7
26188,8
26237,7
26285,6
26333,5
26382,4
26430,3
26478,2
26526,2
26575,3
26623,3
26671,4
26720,5
26768,6
26816,7
26864,7
26913,8
26961,8
27009,8
27057,6
27106,6
27154,5
27202,4
27251,3
27299,2
27347,3
27395,3
27444,3
27492,3
27540,4
27588,6
27637,6
27685,7
27733,8
27782,7
27830,7
27878,7
27926,5
27975,5
28023,4
28071,3
28119,3
28168,3
28216,2
28264,3
28313,3
28349,6
28397,7
28446,7
28494,7
28542,6
28591,6
28639,6
28688,6
28736,5
28784,5
28832,4
28881,4
28929,3
28978,3
29026,2
29074,4
29123,5
29171,6
29219,7
29268,7
29316,7
29364,7
29412,6
29461,6
29509,5
29557,5
29606,4
29654,3
29702,3
29751,3
29799,3
29847,4
29896,5
29944,5
29992,5
30041,7
30089,7
30138,7
30186,6
30234,6
30283,6
30331,6
30379,5
30428,4
30476,4
30524,3
30573,4
30621,4
30669,4
30718,4
30766,5
30814,5
30863,6
30911,6
30959,7
31008,7
31056,6
31104,6
31153,6
31201,6
31250,5
31298,5
31346,4
31394,3
31431,3
31480,5
31528,5
31576,5
31625,4
31673,4
31721,5
31770,5
31818,6
31866,6
31915,5
31963,5
32011,4
32060,5
32108,5
32156,4
32205,4
32253,5
32301,5
32350,5
32398,5
32446,5
32495,6
32543,6
32591,6
32640,6
32688,5
32736,5
32785,5
32833,5
32881,5
32930,5
32978,5
33026,5
33075,6
33123,5
33171,5
33220,5
33268,5
33317,5
33365,6
33413,6
33462,6
33510,5
33558,5
33607,5
33655,4
33703,4
33752,4
33800,5
33848,4
33897,4
33945,4
33993,5
34042,5
34090,5
34138,5
34187,5
34235,5
34283,5
34332,6
34380,6
34428,6
34477,6
34513,5
34562,6
34610,6
34658,5
34707,4
34755,3
34803,3
34852,4
34900,4
34948,5
34997,5
35045,5
35093,5
35142,5
35190,4
35238,5
35293,5
35341,5
35389,5
35438,5
35486,5
35535,5
35583,5
35631,5
35680,5
35728,5
35776,4
35824,4
35873,4
35921,5
35969,5
36018,5
36066,5
36114,6
36163,5
36211,5
36259,5
