Time(ms),EMG Signal
249,49
286,177
334,281
382,289
430,238
478,173
527,118
575,79
623,51
671,31
719,14
768,1
816,16
864,32
912,48
961,64
1009,78
1057,92
1105,102
1153,108
1202,109
1250,107
1298,100
1346,89
1395,76
1443,61
1491,48
1539,36
1587,27
1636,21
1684,18
1732,20
1780,24
1829,28
1877,33
1925,36
1973,37
2021,36
2070,33
2118,25
2166,17
2214,5
2262,5
2311,15
2359,22
2407,26
2455,26
2503,24
2552,18
2600,11
2648,3
2696,4
2744,10
2793,14
2841,15
2889,13
2937,9
2985,10
3034,12
3082,38
3130,2
3178,30
3226,47
3287,28
3335,82
3384,81
3432,53
3480,27
3528,16
3577,20
3625,99
3673,143
3721,107
3770,17
3818,86
3866,149
3914,161
3963,98
4011,7
4059,12
4108,32
4156,18
4204,162
4252,179
4301,32
4349,199
4397,162
4445,7
4494,134
4542,175
4590,156
4639,92
4687,23
4735,146
4783,178
4832,121
4880,64
4928,31
4977,4
5025,94
5073,212
5121,190
5170,54
5218,215
5266,149
5315,141
5363,250
5411,210
5459,43
5508,180
5556,114
5604,106
5653,71
5701,56
5749,148
5798,199
5846,169
5894,42
5942,72
5991,115
6039,168
6087,187
6136,46
6184,68
6245,31
6293,189
6341,172
6389,30
6438,25
6486,66
6534,160
6583,109
6631,10
6679,81
6728,96
6776,111
6824,98
6872,29
6921,17
6969,38
7017,33
7066,139
7114,113
7162,41
7210,160
7259,143
7307,9
7355,142
7404,57
7452,144
7500,152
7548,55
7597,216
7645,177
7693,11
7742,190
7790,219
7838,99
7886,43
7935,10
7983,147
8031,186
8079,108
8128,49
8176,47
8224,54
8273,6
8321,77
8369,51
8417,15
8466,33
8514,11
8562,32
8610,67
8659,73
8707,113
8755,127
8803,13
8852,41
8900,24
8948,51
8996,23
9045,0
9093,3
9141,3
9189,6
9250,4
9298,1
9347,1
9395,5
9443,8
9491,0
9540,14
9588,10
9636,7
9685,17
9733,23
9781,145
9829,258
9878,210
9926,10
9974,137
10023,162
10071,136
10119,103
10167,78
10216,64
10264,57
10312,52
10361,48
10409,49
10457,49
10505,45
10554,36
10602,26
10650,17
10698,8
10747,0
10795,10
10843,17
10892,23
10940,25
10988,25
11036,24
11091,21
11139,15
11187,8
11235,1
11284,4
11332,9
11380,17
11429,24
11477,18
11525,2
11573,12
11622,20
11670,23
11718,23
11766,23
11815,22
11863,18
11911,10
11960,3
12008,1
12056,7
12104,9
12165,11
12213,10
12261,8
12310,6
12358,5
12406,3
12455,0
12503,3
12551,5
12600,6
12648,6
12696,3
12744,0
12793,5
12841,8
12889,12
12938,16
12986,18
13034,16
13082,13
13131,9
13179,4
13227,1
13276,1
13324,4
13372,5
13420,6
13469,4
13517,2
13565,0
13614,3
13662,6
13710,8
13758,10
13807,12
13855,6
13903,1
13952,2
14000,3
14048,6
14096,4
14145,1
14193,2
14241,3
14289,2
14338,1
14386,2
14434,4
14483,6
14531,7
14579,7
14627,6
14676,6
14724,7
14772,6
14821,4
14869,1
14917,0
14965,2
15014,2
15062,1
15110,0
15159,0
15219,1
15268,3
15316,5
15364,6
15413,6
